title,wiki_page,horror_subgenre,developers,female_developer_present?,release_date,platforms,player_perspective,female_protagonist_playable_character?,motherhood,motherhood_keywords,domesticity,domesticity_keywords,trauma_and_mental illness,trauma_and_mental_illness_keywords,embodiment,embodiment_keywords,captivity,captivity_keywords,violence,violence_keywords,sexualized_violence,sexualized_violence_keywords,girlhoodhorror,girlhood horror_keywords,woman_as_monster,woman_as_monster,queer_themes,queer themes_keywords,combined_keywords,interpretative_evidence_sentences
A Plague Tale: Innocence,en.wikipedia.org/wiki/A_Plague_Tale:_Innocence,survival horror,Asobo Studio,NONE LISTED,2019-05-14,PS4; Windows; Xbox One,third-person,TRUE,FALSE,,FALSE,,FALSE,,FALSE,,TRUE,imprisoned; escape,FALSE,,FALSE,,TRUE,teen,FALSE,,FALSE,,imprisoned; escape; teen,"""Amicia de Rune is a 15-year-old"""
Alice: Madness Returns,https://en.wikipedia.org/wiki/Alice%3A_Madness_Returns,psychological horror,Spicy Horse,NONE LISTED,2011-06-14,Windows; PlayStation 3; Xbox 360,third-person,TRUE,FALSE,,FALSE,,TRUE,trauma; hallucination; asylum; hallucinate,TRUE,memories,TRUE,locked; escape,TRUE,rape; raped,TRUE,rape; raped,FALSE,,FALSE,,FALSE,,trauma; hallucination; asylum; hallucinate; memories; locked; escape; rape; raped,
Alien: Isolation,https://en.wikipedia.org/wiki/Alien:_Isolation,survival horror,Creative Assembly,NONE LISTED,2014-10-07,PlayStation 3; PlayStation 4; Windows; Xbox 360; Xbox One; Linux OS X; Nintendo Switch; Android iOS,first-person,TRUE,TRUE,mother; daughter,FALSE,,FALSE,,FALSE,,FALSE,,TRUE,killed,FALSE,,TRUE,teen,FALSE,,FALSE,,mother; daughter; killed; teen,"""where his wife was impregnated by a facehugger (alien) before she fatally birthed the creature on Sevastopol."""
American McGee's Alice,https://en.wikipedia.org/wiki/American_McGee%27s_Alice,adventure horror,Rogue Entertainment [ a ],NONE LISTED,2000-12-05,Windows; Mac OS,third-person,TRUE,FALSE,,FALSE,,TRUE,trauma; asylum; hallucinate,TRUE,flesh; disfigured,TRUE,captive,TRUE,violent; violence; murder; killed,FALSE,,FALSE,,FALSE,,FALSE,,trauma; asylum; hallucinate; flesh; disfigured; captive; violent; violence; murder; killed,
Amnesia: Rebirth,en.wikipedia.org/wiki/Amnesia:_Rebirth,survival horror,Frictional Games,NONE LISTED,2020-10-20,Linux; Windows; PS4; Amazon Luna; Xbox One; Series X/S,first-person,TRUE,TRUE,mother; motherhood; pregnant; daughter,FALSE,,TRUE,trauma; hallucinate,TRUE,body horror; mutated; body; memories,FALSE,,TRUE,killed,FALSE,,FALSE,,FALSE,,FALSE,,mother; motherhood; pregnant; daughter; trauma; hallucinate; body horror; mutated; body; memories; killed,
Amy,https://en.wikipedia.org/wiki/Amy_%28video_game%29,survival horror,VectorCell,NONE LISTED,2012-01-11,Xbox 360; PlayStation 3,,TRUE,FALSE,,FALSE,,FALSE,,TRUE,infected,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,infected,
Anchorhead,https://en.wikipedia.org/wiki/Anchorhead,lovecraftian horror,Michael S. Gentry,FALSE,1998,Z-machine version 8,,TRUE,TRUE,pregnant; daughter,TRUE,wife; husband; family,FALSE,,FALSE,,FALSE,,TRUE,killed,FALSE,,FALSE,,FALSE,,FALSE,,pregnant; daughter; wife; husband; family; killed,"""Edward Verlac, killed his wife and daughter before taking his own life under mysterious circumstances."""
Araya,https://en.wikipedia.org/wiki/Araya_%28video_game%29,adventure horror,MAD Virtual Reality Studio,NONE LISTED,2016-11-24,Windows,,TRUE,TRUE,pregnacy,FALSE,,TRUE,bipolar,FALSE,,FALSE,,TRUE,kills,FALSE,,FALSE,,FALSE,,FALSE,,pregnacy; bipolar; kills,"""The relationship results in an unwanted pregnancy and causes conflict between the couple."""
BloodRayne,https://en.wikipedia.org/wiki/BloodRayne_%28video_game%29,adventure horror,Terminal Reality,NONE LISTED,2002-10-31,PlayStation 2; Xbox; GameCube; Windows; Mac OS X; Terminal Cut; Windows; Nintendo Switch; PlayStation 4; PlayStation 5; Xbox One; Xbox Series X/S,,TRUE,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,TRUE,forcibly ,FALSE,,FALSE,,TRUE,vampire,FALSE,,forcibly ; vampire,"""Rayne is attacked by a man in a Nazi uniform who forcibly removes the rib from her body and leaves her for dead, although she survives."""
Clock Tower,en.wikipedia.org/wiki/Clock_Tower_(1995_video_game),survival horror,Human Entertainment,NONE LISTED,1995-09-14,Super Famicom,,TRUE,FALSE,,FALSE,,FALSE,,FALSE,,TRUE,jail cell,TRUE,killed,FALSE,,TRUE,children; young,FALSE,,FALSE,,jail cell; killed; children; young,
